Customer_ID,recency,frequency,monetary,r_score,f_score,m_score,rf_score,segment
14095,724,1,2.95,1,1,1,11,Hibernating
16738,299,1,3.75,2,1,1,21,Hibernating
13788,507,1,3.75,1,1,1,11,Hibernating
14792,65,1,6.2,3,2,1,32,About_to_Sleep
15913,536,1,6.3,1,1,1,11,Hibernating
15040,543,1,7.49,1,1,1,11,Hibernating
18115,699,1,9.7,1,1,1,11,Hibernating
17378,376,1,10.95,2,1,1,21,Hibernating
17956,251,1,12.75,2,1,1,21,Hibernating
16878,86,1,13.3,3,2,1,32,About_to_Sleep
14900,524,1,13.92,1,1,1,11,Hibernating
14580,520,1,14.85,1,1,1,11,Hibernating
12846,684,1,15.58,1,1,1,11,Hibernating
16093,108,1,17.0,3,2,1,32,About_to_Sleep
13163,612,1,17.65,1,1,1,11,Hibernating
15999,737,1,20.4,1,1,1,11,Hibernating
13112,543,1,20.6,1,1,1,11,Hibernating
16953,32,1,20.8,4,2,1,42,Potential_Loyalists
17986,58,1,20.8,4,2,1,42,Potential_Loyalists
12606,684,1,21.0,1,1,1,11,Hibernating
16537,643,1,23.35,1,1,1,11,Hibernating
14610,397,2,24.35,2,2,1,22,Hibernating
15284,502,1,24.75,1,1,1,11,Hibernating
17102,263,1,25.5,2,1,1,21,Hibernating
17319,671,1,29.1,1,1,1,11,Hibernating
15657,24,1,30.0,4,2,1,42,Potential_Loyalists
15575,621,1,30.1,1,1,1,11,Hibernating
16548,601,1,30.15,1,1,1,11,Hibernating
14144,488,1,30.6,1,1,1,11,Hibernating
13120,240,1,30.6,2,1,1,21,Hibernating
16454,46,4,30.95,4,3,1,43,Potential_Loyalists
17129,522,1,31.85,1,1,1,11,Hibernating
14977,727,1,31.93,1,1,1,11,Hibernating
16941,613,1,33.0,1,1,1,11,Hibernating
15871,439,1,33.1,1,1,1,11,Hibernating
15744,79,1,34.8,3,2,1,32,About_to_Sleep
17533,436,1,34.8,1,1,1,11,Hibernating
17831,35,1,35.4,4,2,1,42,Potential_Loyalists
16417,494,1,35.7,1,1,1,11,Hibernating
15940,313,1,35.8,2,1,1,21,Hibernating
14993,565,1,36.13,1,1,1,11,Hibernating
17352,698,1,36.25,1,1,1,11,Hibernating
16162,254,1,37.4,2,1,1,21,Hibernating
15693,661,1,37.5,1,1,1,11,Hibernating
15455,599,1,38.25,1,1,1,11,Hibernating
18019,53,1,38.45,4,1,1,41,Promising
17246,548,2,38.92,1,2,1,12,Hibernating
16659,191,1,39.12,2,2,1,22,Hibernating
14086,464,1,39.95,1,1,1,11,Hibernating
15178,262,1,40.5,2,1,1,21,Hibernating
14266,430,1,40.56,1,1,1,11,Hibernating
16219,502,1,40.8,1,1,1,11,Hibernating
13906,411,1,42.0,2,1,1,21,Hibernating
13913,508,1,42.22,1,1,1,11,Hibernating
14300,20,1,43.2,5,2,1,52,Potential_Loyalists
17916,630,2,43.87,1,2,1,12,Hibernating
15672,727,1,45.3,1,1,1,11,Hibernating
15698,626,1,46.2,1,1,1,11,Hibernating
13438,549,1,46.5,1,1,1,11,Hibernating
16257,178,1,46.95,3,2,1,32,About_to_Sleep
16530,670,1,48.35,1,1,1,11,Hibernating
14380,684,1,48.96,1,1,1,11,Hibernating
18184,17,1,49.8,5,2,1,52,Potential_Loyalists
14743,594,1,50.48,1,1,1,11,Hibernating
14351,166,1,51.0,3,2,1,32,About_to_Sleep
13254,378,1,51.41,2,1,1,21,Hibernating
17844,108,1,51.56,3,2,1,32,About_to_Sleep
16786,395,1,51.84,2,1,1,21,Hibernating
15313,112,1,52.0,3,2,1,32,About_to_Sleep
17599,479,1,52.05,1,1,1,11,Hibernating
16349,292,1,53.5,2,1,1,21,Hibernating
13306,432,1,53.65,1,1,1,11,Hibernating
12496,622,2,54.09,1,2,1,12,Hibernating
17494,503,1,54.7,1,1,1,11,Hibernating
12860,695,1,55.47,1,1,1,11,Hibernating
12776,669,1,55.5,1,1,1,11,Hibernating
15685,452,1,55.98,1,1,1,11,Hibernating
13366,52,1,56.16,4,1,1,41,Promising
17775,256,1,56.4,2,1,1,21,Hibernating
12466,684,1,56.73,1,1,1,11,Hibernating
14384,502,1,58.5,1,1,1,11,Hibernating
15371,664,1,59.4,1,1,1,11,Hibernating
15233,403,1,59.4,2,1,1,21,Hibernating
13682,189,1,59.5,3,2,1,32,About_to_Sleep
